"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","63.6","100.0","0.0","48.1","100.0","0.0","-15.5","-24.4","","0"
"Management occupations","=""11-0000""","Summary","2.9","4.6","0.0","2.2","4.7","0.0","-0.7","-23.5","2","1"
"Top executives","=""11-1000""","Summary","2.6","4.1","0.1","2.0","4.1","0.1","-0.6","-23.5","3","2"
"General and operations managers","=""11-1021""","Line Item","2.6","4.1","0.1","2.0","4.1","0.1","-0.6","-23.5","5","3"
"Sales managers","=""11-2022""","Line Item","0.2","0.3","0.0","0.1","0.3","0.0","0.0","-23.5","11","4"
"Business and financial operations occupations","=""13-0000""","Summary","0.6","0.9","0.0","0.4","0.9","0.0","-0.1","-25.5","51","1"
"Business operations specialists","=""13-1000""","Summary","0.5","0.8","0.0","0.4","0.8","0.0","-0.1","-25.9","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","0.2","0.3","0.0","0.1","0.3","0.0","-0.1","-31.1","54","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-18.1","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-23.5","73","3"
"Financial specialists","=""13-2000""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","74","2"
"Accountants and auditors","=""13-2011""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","75","3"
"Computer and mathematical occupations","=""15-0000""","Summary","0.2","0.3","0.0","0.2","0.3","0.0","0.0","-20.7","92","1"
"Computer occupations","=""15-1200""","Summary","0.2","0.3","0.0","0.2","0.3","0.0","0.0","-21.0","93","2"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-18.0","106","3"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","28.7","45.1","0.9","22.0","45.7","0.7","-6.7","-23.5","355","1"
"Art and design workers","=""27-1000""","Summary","28.6","45.0","2.9","21.9","45.6","2.1","-6.7","-23.5","356","2"
"Designers","=""27-1020""","Summary","28.6","45.0","4.0","21.9","45.6","3.0","-6.7","-23.5","363","3"
"Floral designers","=""27-1023""","Line Item","28.5","44.7","52.2","21.8","45.3","48.7","-6.7","-23.5","366","4"
"Graphic designers","=""27-1024""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","367","4"
"Designers, all other","=""27-1029""","Line Item","0.1","0.1","0.2","0.1","0.1","0.2","0.0","-23.5","371","4"
"Media and communication workers","=""27-3000""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-23.5","389","2"
"Public relations specialists","=""27-3031""","Line Item","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-23.5","392","3"
"Food preparation and serving related occupations","=""35-0000""","Summary","0.2","0.3","0.0","0.2","0.3","0.0","0.0","-23.0","558","1"
"Food and beverage serving workers","=""35-3000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-23.5","571","2"
"Fast food and counter workers","=""35-3023""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-23.5","573","3"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","0.3","0.5","0.0","0.2","0.5","0.0","-0.1","-24.1","581","1"
"Building cleaning and pest control workers","=""37-2000""","Summary","0.3","0.4","0.0","0.2","0.4","0.0","-0.1","-24.2","585","2"
"Building cleaning workers","=""37-2010""","Summary","0.3","0.4","0.0","0.2","0.4","0.0","-0.1","-24.2","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","0.3","0.4","0.0","0.2","0.4","0.0","-0.1","-24.2","587","4"
"Grounds maintenance workers","=""37-3000""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-23.5","591","2"
"Landscaping and groundskeeping workers","=""37-3011""","Line Item","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-23.5","592","3"
"Sales and related occupations","=""41-0000""","Summary","11.4","18.0","0.1","8.6","18.0","0.1","-2.8","-24.6","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","1.0","1.5","0.1","0.7","1.5","0.0","-0.2","-23.5","645","2"
"First-line supervisors of retail sales workers","=""41-1011""","Line Item","1.0","1.5","0.1","0.7","1.5","0.1","-0.2","-23.5","646","3"
"Retail sales workers","=""41-2000""","Summary","10.3","16.3","0.1","7.8","16.2","0.1","-2.6","-24.7","648","2"
"Cashiers","=""41-2010""","Summary","1.1","1.8","0.0","0.7","1.5","0.0","-0.4","-35.0","649","3"
"Cashiers","=""41-2011""","Line Item","1.1","1.8","0.0","0.7","1.5","0.0","-0.4","-35.0","650","4"
"Counter and rental clerks and parts salespersons","=""41-2020""","Summary","0.3","0.4","0.0","0.2","0.4","0.0","-0.1","-23.5","652","3"
"Counter and rental clerks","=""41-2021""","Line Item","0.3","0.4","0.1","0.2","0.4","0.0","-0.1","-23.5","653","4"
"Retail salespersons","=""41-2031""","Line Item","9.0","14.1","0.2","6.9","14.3","0.2","-2.1","-23.5","655","3"
"Office and administrative support occupations","=""43-0000""","Summary","5.0","7.8","0.0","3.4","7.0","0.0","-1.6","-31.8","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","0.2","0.4","0.0","0.2","0.3","0.0","-0.1","-31.1","678","2"
