"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","21.4","100.0","0.0","22.1","100.0","0.0","0.7","3.4","","0"
"Management occupations","=""11-0000""","Summary","3.1","14.6","0.0","3.3","15.1","0.0","0.2","6.8","2","1"
"Top executives","=""11-1000""","Summary","0.9","4.0","0.0","0.9","4.0","0.0","0.0","1.7","3","2"
"General and operations managers","=""11-1021""","Line Item","0.8","3.9","0.0","0.8","3.8","0.0","0.0","2.3","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.2","0.9","0.0","0.2","0.9","0.0","0.0","2.3","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.1","0.6","0.0","0.1","0.6","0.0","0.0","2.3","9","3"
"Public relations and fundraising managers","=""11-2030""","Summary","0.1","0.3","0.1","0.1","0.3","0.1","0.0","2.3","12","3"
"Public relations managers","=""11-2032""","Line Item","0.1","0.3","0.1","0.1","0.3","0.1","0.0","2.3","13","4"
"Operations specialties managers","=""11-3000""","Summary","1.9","8.8","0.1","2.1","9.4","0.1","0.2","10.0","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.1","0.6","0.0","0.1","0.6","0.0","0.0","2.3","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","2.3","17","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.7","3.5","0.1","0.8","3.7","0.1","0.1","9.5","19","3"
"Financial managers","=""11-3031""","Line Item","0.9","4.2","0.1","1.0","4.6","0.1","0.1","12.5","20","3"
"Human resources managers","=""11-3121""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","2.3","25","3"
"Other management occupations","=""11-9000""","Summary","0.2","0.8","0.0","0.2","0.8","0.0","0.0","2.4","27","2"
"Managers, all other","=""11-9199""","Line Item","0.2","0.8","0.0","0.2","0.8","0.0","0.0","2.3","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","7.6","35.7","0.1","7.8","35.3","0.1","0.2","2.2","51","1"
"Business operations specialists","=""13-1000""","Summary","2.9","13.4","0.0","2.9","13.3","0.0","0.1","2.3","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","0.1","0.4","0.0","0.1","0.3","0.0","0.0","-7.9","54","3"
"Compliance officers","=""13-1041""","Line Item","0.2","1.0","0.1","0.2","1.0","0.1","0.0","2.3","58","3"
"Human resources workers","=""13-1070""","Summary","0.3","1.2","0.0","0.3","1.2","0.0","0.0","0.2","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.3","1.2","0.0","0.3","1.2","0.0","0.0","0.2","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","0.5","2.3","0.0","0.5","2.3","0.0","0.0","2.5","64","3"
"Project management specialists","=""13-1082""","Line Item","0.5","2.2","0.1","0.5","2.2","0.1","0.0","2.3","66","4"
"Management analysts","=""13-1111""","Line Item","1.0","4.4","0.1","1.0","4.4","0.1","0.0","2.3","67","3"
"Training and development specialists","=""13-1151""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","2.3","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.2","0.9","0.0","0.2","0.9","0.0","0.0","9.5","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.5","2.6","0.0","0.6","2.5","0.0","0.0","2.3","73","3"
"Financial specialists","=""13-2000""","Summary","4.8","22.3","0.1","4.9","22.0","0.1","0.1","2.1","74","2"
"Accountants and auditors","=""13-2011""","Line Item","0.4","1.8","0.0","0.4","1.8","0.0","0.0","2.3","75","3"
"Budget analysts","=""13-2031""","Line Item","0.1","0.3","0.1","0.1","0.3","0.1","0.0","2.3","77","3"
"Credit analysts","=""13-2041""","Line Item","0.1","0.4","0.1","0.1","0.3","0.1","0.0","-7.9","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","1.5","6.8","0.2","1.5","6.7","0.2","0.0","2.3","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.8","3.5","0.2","0.8","3.5","0.2","0.0","2.3","80","4"
"Financial risk specialists","=""13-2054""","Line Item","0.7","3.2","1.1","0.7","3.1","1.1","0.0","2.3","83","4"
"Financial examiners","=""13-2061""","Line Item","2.1","9.9","3.2","2.2","9.8","2.8","0.0","2.3","84","3"
"Credit counselors and loan officers","=""13-2070""","Summary","0.2","1.0","0.1","0.2","1.0","0.1","0.0","2.3","85","3"
"Loan officers","=""13-2072""","Line Item","0.2","1.0","0.1","0.2","1.0","0.1","0.0","2.3","87","4"
"Financial specialists, all other","=""13-2099""","Line Item","0.5","2.1","0.3","0.5","2.1","0.3","0.0","2.3","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","4.4","20.8","0.1","5.1","22.9","0.1","0.6","13.9","92","1"
"Computer occupations","=""15-1200""","Summary","3.9","18.1","0.1","4.4","19.7","0.1","0.5","12.4","93","2"
"Computer and information analysts","=""15-1210""","Summary","1.3","6.0","0.2","1.5","6.9","0.2","0.3","20.3","94","3"
"Computer systems analysts","=""15-1211""","Line Item","0.5","2.1","0.1","0.5","2.4","0.1","0.1","17.6","95","4"
"Information security analysts","=""15-1212""","Line Item","0.8","3.8","0.5","1.0","4.5","0.4","0.2","21.7","96","4"
"Computer support specialists","=""15-1230""","Summary","0.6","2.7","0.1","0.6","2.5","0.1","0.0","-1.6","98","3"
"Computer user support specialists","=""15-1232""","Line Item","0.5","2.5","0.1","0.5","2.4","0.1","0.0","-1.8","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","0.5","2.2","0.1","0.5","2.1","0.1","0.0","-1.1","101","3"
"Computer network architects","=""15-1241""","Line Item","0.2","1.0","0.1","0.2","1.0","0.1","0.0","-2.8","102","4"
"Database administrators","=""15-1242""","Line Item","0.1","0.4","0.1","0.1","0.4","0.1","0.0","2.3","103","4"
"Database architects","=""15-1243""","Line Item","0.1","0.3","0.1","0.1","0.3","0.1","0.0","2.3","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","-2.8","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","1.3","6.3","0.1","1.6","7.1","0.1","0.2","17.2","106","3"
"Software developers","=""15-1252""","Line Item","1.2","5.7","0.1","1.4","6.5","0.1","0.2","17.6","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","12.5","109","4"
"Computer occupations, all other","=""15-1299""","Line Item","0.2","1.1","0.1","0.2","1.1","0.0","0.0","2.3","112","3"
"Data scientists","=""15-2051""","Line Item","0.2","1.1","0.1","0.3","1.3","0.1","0.1","27.9","118","3"
"Life, physical, and social science occupations","=""19-0000""","Summary","0.3","1.3","0.0","0.3","1.3","0.0","0.0","2.3","166","1"
"Social scientists and related workers","=""19-3000""","Summary","0.3","1.2","0.1","0.3","1.2","0.1","0.0","2.3","197","2"
"Economists","=""19-3011""","Line Item","0.3","1.2","1.5","0.3","1.2","1.4","0.0","2.3","198","3"
"Legal occupations","=""23-0000""","Summary","0.1","0.6","0.0","0.1","0.6","0.0","0.0","6.9","255","1"
"Lawyers, judges, and related workers","=""23-1000""","Summary","0.1","0.6","0.0","0.1","0.6","0.0","0.0","7.4","256","2"
"Lawyers and judicial law clerks","=""23-1010""","Summary","0.1","0.6","0.0","0.1","0.6","0.0","0.0","7.4","257","3"
"Lawyers","=""23-1011""","Line Item","0.1","0.6","0.0","0.1","0.6","0.0","0.0","7.4","258","4"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","0.3","1.3","0.0","0.3","1.3","0.0","0.0","2.3","355","1"
"Media and communication workers","=""27-3000""","Summary","0.2","1.0","0.0","0.2","1.0","0.0","0.0","2.3","389","2"
"Public relations specialists","=""27-3031""","Line Item","0.2","0.8","0.1","0.2","0.8","0.1","0.0","2.3","392","3"
"Writers and editors","=""27-3040""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","2.3","393","3"
"Protective service occupations","=""33-0000""","Summary","1.5","7.2","0.0","1.5","6.6","0.0","-0.1","-5.1","522","1"
"Supervisors of protective service workers","=""33-1000""","Summary","0.2","0.9","0.1","0.2","0.8","0.0","0.0","-5.9","523","2"
