"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","37.1","100.0","0.0","35.2","100.0","0.0","-2.0","-5.3","","0"
"Management occupations","=""11-0000""","Summary","2.6","7.1","0.0","2.5","7.2","0.0","-0.1","-4.0","2","1"
"Top executives","=""11-1000""","Summary","0.4","1.0","0.0","0.4","1.0","0.0","0.0","-5.1","3","2"
"General and operations managers","=""11-1021""","Line Item","0.4","1.0","0.0","0.3","1.0","0.0","0.0","-4.1","5","3"
"Operations specialties managers","=""11-3000""","Summary","1.1","3.0","0.0","1.1","3.0","0.0","0.0","-3.6","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.3","0.8","0.1","0.3","0.8","0.1","0.0","-4.1","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-4.1","17","4"
"Facilities managers","=""11-3013""","Line Item","0.2","0.5","0.1","0.2","0.5","0.1","0.0","-4.1","18","4"
"Industrial production managers","=""11-3051""","Line Item","0.5","1.3","0.2","0.4","1.3","0.2","0.0","-4.1","21","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-4.1","23","3"
"Human resources managers","=""11-3121""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-4.1","25","3"
"Training and development managers","=""11-3131""","Line Item","0.1","0.3","0.3","0.1","0.3","0.3","0.0","-4.1","26","3"
"Other management occupations","=""11-9000""","Summary","1.1","3.0","0.0","1.1","3.1","0.0","0.0","-3.9","27","2"
"Architectural and engineering managers","=""11-9041""","Line Item","0.6","1.5","0.3","0.5","1.5","0.3","0.0","-4.1","35","3"
"Emergency management directors","=""11-9161""","Line Item","0.1","0.3","1.0","0.1","0.3","0.9","0.0","-4.1","46","3"
"Managers, all other","=""11-9199""","Line Item","0.3","0.9","0.0","0.3","1.0","0.0","0.0","-4.1","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","3.2","8.5","0.0","3.0","8.6","0.0","-0.1","-4.7","51","1"
"Business operations specialists","=""13-1000""","Summary","3.0","8.0","0.0","2.8","8.1","0.0","-0.1","-4.7","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","0.3","0.8","0.1","0.2","0.7","0.1","0.0","-13.7","54","3"
"Compliance officers","=""13-1041""","Line Item","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-4.1","58","3"
"Cost estimators","=""13-1051""","Line Item","0.1","0.2","0.0","0.1","0.1","0.0","0.0","-8.9","59","3"
"Human resources workers","=""13-1070""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-6.0","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-6.0","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","0.5","1.3","0.0","0.5","1.4","0.0","0.0","-1.8","64","3"
"Logisticians","=""13-1081""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","7.4","65","4"
"Project management specialists","=""13-1082""","Line Item","0.4","1.1","0.0","0.4","1.1","0.0","0.0","-4.1","66","4"
"Management analysts","=""13-1111""","Line Item","0.2","0.4","0.0","0.2","0.4","0.0","0.0","-4.1","67","3"
"Training and development specialists","=""13-1151""","Line Item","1.1","2.9","0.3","1.0","3.0","0.3","0.0","-4.1","71","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.5","1.4","0.0","0.5","1.4","0.0","0.0","-4.1","73","3"
"Financial specialists","=""13-2000""","Summary","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-4.1","74","2"
"Financial analysts and advisors","=""13-2050""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-4.1","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-4.1","80","4"
"Computer and mathematical occupations","=""15-0000""","Summary","0.7","1.8","0.0","0.6","1.8","0.0","0.0","-1.8","92","1"
"Computer occupations","=""15-1200""","Summary","0.6","1.7","0.0","0.6","1.7","0.0","0.0","-2.3","93","2"
"Computer and information analysts","=""15-1210""","Summary","0.2","0.5","0.0","0.2","0.5","0.0","0.0","2.7","94","3"
"Computer systems analysts","=""15-1211""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-4.1","95","4"
"Information security analysts","=""15-1212""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","14.1","96","4"
"Computer support specialists","=""15-1230""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-6.4","98","3"
"Computer user support specialists","=""15-1232""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-7.9","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-8.1","101","3"
"Network and computer systems administrators","=""15-1244""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-8.9","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","0.1","0.3","0.0","0.1","0.4","0.0","0.0","2.0","106","3"
"Software developers","=""15-1252""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","10.3","108","4"
"Architecture and engineering occupations","=""17-0000""","Summary","7.1","19.2","0.3","6.9","19.6","0.3","-0.2","-3.4","120","1"
"Engineers","=""17-2000""","Summary","6.5","17.6","0.4","6.3","18.0","0.3","-0.2","-3.1","128","2"
"Chemical engineers","=""17-2041""","Line Item","0.1","0.2","0.3","0.1","0.2","0.3","0.0","-4.1","132","3"
"Civil engineers","=""17-2051""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-4.1","133","3"
"Electrical engineers","=""17-2071""","Line Item","1.0","2.8","0.5","1.0","2.8","0.5","0.0","-4.1","136","4"
"Industrial engineers, including health and safety","=""17-2110""","Summary","0.8","2.2","0.2","0.8","2.4","0.2","0.0","1.3","139","3"
"Health and safety engineers, except mining safety engineers and inspectors","=""17-2111""","Line Item","0.3","0.8","1.4","0.3","0.8","1.3","0.0","-4.1","140","4"
"Industrial engineers","=""17-2112""","Line Item","0.5","1.4","0.2","0.5","1.5","0.1","0.0","4.6","141","4"
"Mechanical engineers","=""17-2141""","Line Item","0.2","0.6","0.1","0.2","0.6","0.1","0.0","3.6","144","3"
"Nuclear engineers","=""17-2161""","Line Item","3.9","10.5","28.3","3.7","10.6","26.8","-0.2","-4.1","146","3"
"Engineers, all other","=""17-2199""","Line Item","0.3","0.9","0.2","0.3","0.9","0.2","0.0","-4.1","148","3"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","0.6","1.6","0.1","0.6","1.6","0.1","0.0","-5.8","149","2"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","0.6","1.5","0.1","0.5","1.5","0.1","0.0","-5.7","155","3"
"Electrical and electronic engineering technologists and technicians","=""17-3023""","Line Item","0.3","0.8","0.3","0.3","0.8","0.3","0.0","-4.1","158","4"
"Electro-mechanical and mechatronics technologists and technicians","=""17-3024""","Line Item","0.1","0.4","0.9","0.1","0.3","0.8","0.0","-10.8","159","4"
"Engineering technologists and technicians, except drafters, all other","=""17-3029""","Line Item","0.1","0.3","0.2","0.1","0.3","0.2","0.0","-4.1","164","4"
"Life, physical, and social science occupations","=""19-0000""","Summary","4.5","12.1","0.3","4.3","12.2","0.3","-0.2","-3.7","166","1"
"Life scientists","=""19-1000""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-4.1","167","2"
"Physical scientists","=""19-2000""","Summary","0.5","1.4","0.2","0.5","1.5","0.2","0.0","-3.8","184","2"
"Chemists and materials scientists","=""19-2030""","Summary","0.4","1.0","0.4","0.3","1.0","0.3","0.0","-4.1","189","3"
"Chemists","=""19-2031""","Line Item","0.4","1.0","0.4","0.3","1.0","0.4","0.0","-4.1","190","4"
"Environmental scientists and geoscientists","=""19-2040""","Summary","0.1","0.4","0.1","0.1","0.4","0.1","0.0","-3.1","192","3"
"Environmental scientists and specialists, including health","=""19-2041""","Line Item","0.1","0.4","0.2","0.1","0.4","0.2","0.0","-3.1","193","4"
"Life, physical, and social science technicians","=""19-4000""","Summary","3.7","10.0","0.9","3.6","10.2","0.9","-0.2","-4.1","213","2"
"Chemical technicians","=""19-4031""","Line Item","0.2","0.5","0.3","0.2","0.5","0.3","0.0","-4.1","218","3"
"Environmental science and geoscience technicians","=""19-4040""","Summary","0.2","0.4","0.3","0.1","0.4","0.3","0.0","-4.1","219","3"
"Environmental science and protection technicians, including health","=""19-4042""","Line Item","0.2","0.4","0.4","0.1","0.4","0.4","0.0","-4.1","220","4"
"Nuclear technicians","=""19-4051""","Line Item","3.4","9.1","57.0","3.2","9.2","55.4","-0.1","-4.1","223","3"
"Occupational health and safety specialists and technicians","=""19-5000""","Summary","0.2","0.4","0.1","0.2","0.5","0.1","0.0","5.9","229","2"
"Occupational health and safety specialists","=""19-5011""","Line Item","0.1","0.4","0.1","0.2","0.4","0.1","0.0","6.5","230","3"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","0.2","0.6","0.0","0.2","0.6","0.0","0.0","-4.1","355","1"
"Media and communication workers","=""27-3000""","Summary","0.2","0.6","0.0","0.2","0.6","0.0","0.0","-4.1","389","2"
"Writers and editors","=""27-3040""","Summary","0.2","0.5","0.1","0.2","0.5","0.1","0.0","-4.1","393","3"
"Technical writers","=""27-3042""","Line Item","0.2","0.5","0.3","0.2","0.5","0.3","0.0","-4.1","395","4"
"Protective service occupations","=""33-0000""","Summary","3.9","10.5","0.1","3.4","9.8","0.1","-0.5","-11.6","522","1"
"Supervisors of protective service workers","=""33-1000""","Summary","0.5","1.3","0.1","0.4","1.2","0.1","-0.1","-11.7","523","2"
"Miscellaneous first-line supervisors, protective service workers","=""33-1090""","Summary","0.5","1.2","0.5","0.4","1.2","0.5","-0.1","-11.9","528","3"
"First-line supervisors of security workers","=""33-1091""","Line Item","0.4","1.0","0.6","0.3","0.9","0.5","-0.1","-13.7","529","4"
"First-line supervisors of protective service workers, all other","=""33-1099""","Line Item","0.1","0.2","0.3","0.1","0.2","0.3","0.0","-4.1","530","4"
"Other protective service workers","=""33-9000""","Summary","3.4","9.1","0.2","3.0","8.5","0.2","-0.4","-11.7","546","2"
"Security guards and gambling surveillance officers","=""33-9030""","Summary","3.4","9.0","0.3","3.0","8.4","0.3","-0.4","-11.8","549","3"
"Security guards","=""33-9032""","Line Item","3.4","9.0","0.3","3.0","8.4","0.3","-0.4","-11.8","551","4"
"Office and administrative support occupations","=""43-0000""","Summary","1.6","4.4","0.0","1.4","4.1","0.0","-0.2","-13.2","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","0.2","0.5","0.0","0.2","0.4","0.0","0.0","-13.7","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","0.2","0.5","0.0","0.2","0.4","0.0","0.0","-13.7","679","3"
"Financial clerks","=""43-3000""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-14.0","684","2"
"Information and record clerks","=""43-4000""","Summary","0.2","0.4","0.0","0.1","0.4","0.0","0.0","-9.0","693","2"
"Information and record clerks, all other","=""43-4199""","Line Item","0.1","0.3","0.1","0.1","0.3","0.1","0.0","-4.1","710","3"
"Material recording, scheduling, dispatching, and distributing workers","=""43-5000""","Summary","0.5","1.3","0.0","0.5","1.3","0.0","0.0","-4.6","711","2"
"Production, planning, and expediting clerks","=""43-5061""","Line Item","0.5","1.2","0.1","0.4","1.2","0.1","0.0","-4.1","722","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","0.6","1.6","0.0","0.5","1.3","0.0","-0.1","-21.2","725","2"
"Executive secretaries and executive administrative assistants","=""43-6011""","Line Item","0.2","0.4","0.0","0.1","0.3","0.0","0.0","-28.1","726","3"
"Secretaries and administrative assistants, except legal, medical, and executive","=""43-6014""","Line Item","0.4","1.1","0.0","0.3","1.0","0.0","-0.1","-18.5","729","3"
"Other office and administrative support workers","=""43-9000""","Summary","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-13.7","730","2"
"Office clerks, general","=""43-9061""","Line Item","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-13.7","737","3"
"Construction and extraction occupations","=""47-0000""","Summary","0.9","2.4","0.0","0.8","2.4","0.0","0.0","-4.1","763","1"
"Supervisors of construction and extraction workers","=""47-1000""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-4.1","764","2"
"First-line supervisors of construction trades and extraction workers","=""47-1011""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-4.1","765","3"
"Construction trades workers","=""47-2000""","Summary","0.7","2.0","0.0","0.7","2.0","0.0","0.0","-4.1","766","2"
"Electricians","=""47-2111""","Line Item","0.6","1.7","0.1","0.6","1.7","0.1","0.0","-4.1","788","3"
"Other construction and related workers","=""47-4000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-4.5","813","2"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","4.7","12.8","0.1","4.5","12.9","0.1","-0.2","-4.2","840","1"
"Supervisors of installation, maintenance, and repair workers","=""49-1000""","Summary","1.1","2.9","0.2","1.0","3.0","0.2","0.0","-4.1","841","2"
"First-line supervisors of mechanics, installers, and repairers","=""49-1011""","Line Item","1.1","2.9","0.2","1.0","3.0","0.2","0.0","-4.1","842","3"
"Electrical and electronic equipment mechanics, installers, and repairers","=""49-2000""","Summary","1.4","3.7","0.3","1.3","3.7","0.2","-0.1","-4.3","843","2"
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers","=""49-2090""","Summary","1.4","3.7","0.6","1.3","3.7","0.5","-0.1","-4.3","848","3"
"Electrical and electronics repairers, commercial and industrial equipment","=""49-2094""","Line Item","0.1","0.3","0.2","0.1","0.3","0.2","0.0","-7.0","852","4"
"Electrical and electronics repairers, powerhouse, substation, and relay","=""49-2095""","Line Item","1.2","3.3","4.8","1.2","3.4","4.7","-0.1","-4.1","853","4"
"Vehicle and mobile equipment mechanics, installers, and repairers","=""49-3000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-6.4","857","2"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","2.2","5.9","0.1","2.1","6.0","0.1","-0.1","-4.1","876","2"
"Industrial machinery installation, repair, and maintenance workers","=""49-9040""","Summary","1.1","3.1","0.2","1.1","3.1","0.2","0.0","-4.1","882","3"
"Industrial machinery mechanics","=""49-9041""","Line Item","1.1","2.9","0.3","1.0","3.0","0.2","0.0","-4.1","883","4"
"Line installers and repairers","=""49-9050""","Summary","0.3","0.7","0.1","0.3","0.7","0.1","0.0","-4.1","887","3"
"Electrical power-line installers and repairers","=""49-9051""","Line Item","0.3","0.7","0.2","0.3","0.7","0.2","0.0","-4.1","888","4"
"Maintenance and repair workers, general","=""49-9071""","Line Item","0.3","0.8","0.0","0.3","0.8","0.0","0.0","-4.1","896","3"
