"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","941.2","100.0","0.6","1,107.9","100.0","0.7","166.7","17.7","","0"
"Management occupations","=""11-0000""","Summary","15.7","1.7","0.1","17.8","1.6","0.1","2.1","13.2","2","1"
"Top executives","=""11-1000""","Summary","8.7","0.9","0.2","10.0","0.9","0.3","1.3","14.7","3","2"
"Chief executives","=""11-1011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","-2.5","4","3"
"General and operations managers","=""11-1021""","Line Item","8.7","0.9","0.2","10.0","0.9","0.3","1.3","14.8","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.8","0.1","0.1","1.0","0.1","0.1","0.1","14.8","7","2"
"Sales managers","=""11-2022""","Line Item","0.6","0.1","0.1","0.7","0.1","0.1","0.1","14.8","11","4"
"Operations specialties managers","=""11-3000""","Summary","5.6","0.6","0.2","6.2","0.6","0.2","0.6","10.5","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.2","0.0","0.1","0.3","0.0","0.1","0.0","14.8","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","14.8","17","4"
"Facilities managers","=""11-3013""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","14.8","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","22.8","19","3"
"Financial managers","=""11-3031""","Line Item","0.2","0.0","0.0","0.3","0.0","0.0","0.1","26.2","20","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","4.6","0.5","2.6","5.0","0.5","2.6","0.4","9.0","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","9.0","24","3"
"Human resources managers","=""11-3121""","Line Item","0.3","0.0","0.2","0.3","0.0","0.2","0.0","14.8","25","3"
"Training and development managers","=""11-3131""","Line Item","0.1","0.0","0.2","0.1","0.0","0.3","0.0","14.8","26","3"
"Other management occupations","=""11-9000""","Summary","0.5","0.1","0.0","0.6","0.1","0.0","0.1","14.8","27","2"
"Architectural and engineering managers","=""11-9041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","14.8","35","3"
"Managers, all other","=""11-9199""","Line Item","0.4","0.0","0.0","0.5","0.0","0.0","0.1","14.8","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","7.6","0.8","0.1","8.8","0.8","0.1","1.2","15.5","51","1"
"Business operations specialists","=""13-1000""","Summary","6.9","0.7","0.1","8.0","0.7","0.1","1.1","15.6","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","0.2","0.0","0.0","0.2","0.0","0.0","0.0","3.3","54","3"
"Compliance officers","=""13-1041""","Line Item","0.2","0.0","0.0","0.2","0.0","0.1","0.0","14.8","58","3"
"Human resources workers","=""13-1070""","Summary","1.7","0.2","0.2","1.9","0.2","0.2","0.2","12.5","60","3"
"Human resources specialists","=""13-1071""","Line Item","1.5","0.2","0.2","1.7","0.2","0.2","0.2","12.5","61","4"
"Labor relations specialists","=""13-1075""","Line Item","0.2","0.0","0.4","0.3","0.0","0.4","0.0","12.5","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","1.1","0.1","0.1","1.3","0.1","0.1","0.3","24.0","64","3"
"Logisticians","=""13-1081""","Line Item","0.7","0.1","0.3","0.9","0.1","0.4","0.2","28.5","65","4"
"Project management specialists","=""13-1082""","Line Item","0.3","0.0","0.0","0.4","0.0","0.0","0.1","14.8","66","4"
"Management analysts","=""13-1111""","Line Item","0.4","0.0","0.0","0.4","0.0","0.0","0.1","14.8","67","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","0.4","0.0","0.4","0.5","0.0","0.4","0.1","14.8","70","3"
"Training and development specialists","=""13-1151""","Line Item","2.0","0.2","0.5","2.2","0.2","0.5","0.3","14.8","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.3","0.0","0.0","0.4","0.0","0.0","0.1","22.8","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.7","0.1","0.1","0.8","0.1","0.1","0.1","14.8","73","3"
"Financial specialists","=""13-2000""","Summary","0.7","0.1","0.0","0.8","0.1","0.0","0.1","14.7","74","2"
"Accountants and auditors","=""13-2011""","Line Item","0.5","0.0","0.0","0.5","0.0","0.0","0.1","14.8","75","3"
"Financial analysts and advisors","=""13-2050""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","14.8","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","0.1","0.0","0.0","0.2","0.0","0.0","0.0","14.8","80","4"
"Financial risk specialists","=""13-2054""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","14.8","83","4"
"Computer and mathematical occupations","=""15-0000""","Summary","2.4","0.3","0.0","2.8","0.3","0.0","0.5","19.7","92","1"
"Computer occupations","=""15-1200""","Summary","2.2","0.2","0.0","2.6","0.2","0.0","0.4","18.7","93","2"
"Computer and information analysts","=""15-1210""","Summary","0.4","0.0","0.1","0.5","0.0","0.1","0.1","16.4","94","3"
"Computer systems analysts","=""15-1211""","Line Item","0.4","0.0","0.1","0.4","0.0","0.1","0.1","14.8","95","4"
"Computer support specialists","=""15-1230""","Summary","0.9","0.1","0.1","1.0","0.1","0.1","0.1","13.8","98","3"
"Computer network support specialists","=""15-1231""","Line Item","0.7","0.1","0.4","0.8","0.1","0.4","0.1","14.8","99","4"
"Computer user support specialists","=""15-1232""","Line Item","0.2","0.0","0.0","0.2","0.0","0.0","0.0","10.2","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","0.3","0.0","0.0","0.3","0.0","0.0","0.0","12.8","101","3"
"Database administrators","=""15-1242""","Line Item","0.1","0.0","0.2","0.2","0.0","0.2","0.0","14.8","103","4"
"Network and computer systems administrators","=""15-1244""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","9.0","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","0.6","0.1","0.0","0.8","0.1","0.0","0.2","30.0","106","3"
"Software developers","=""15-1252""","Line Item","0.4","0.0","0.0","0.6","0.1","0.0","0.1","32.0","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","26.2","109","4"
"Web developers","=""15-1254""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","26.2","110","4"
"Computer occupations, all other","=""15-1299""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","14.8","112","3"
"Mathematical science occupations","=""15-2000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.1","34.6","113","2"
"Operations research analysts","=""15-2031""","Line Item","0.1","0.0","0.1","0.2","0.0","0.1","0.0","32.0","116","3"
"Architecture and engineering occupations","=""17-0000""","Summary","5.1","0.5","0.2","6.4","0.6","0.2","1.2","23.9","120","1"
"Engineers","=""17-2000""","Summary","5.0","0.5","0.3","6.2","0.6","0.3","1.2","24.3","128","2"
"Aerospace engineers","=""17-2011""","Line Item","0.4","0.0","0.6","0.4","0.0","0.6","0.1","14.8","129","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","4.5","0.5","1.3","5.7","0.5","1.5","1.1","25.1","139","3"
"Industrial engineers","=""17-2112""","Line Item","4.5","0.5","1.4","5.7","0.5","1.6","1.1","25.1","141","4"
"Drafters, engineering technicians, and mapping technicians","=""17-3000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","14.8","149","2"
"Engineering technologists and technicians, except drafters","=""17-3020""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","14.8","155","3"
"Industrial engineering technologists and technicians","=""17-3026""","Line Item","0.1","0.0","0.2","0.2","0.0","0.2","0.0","14.8","161","4"
"Life, physical, and social science occupations","=""19-0000""","Summary","0.4","0.0","0.0","0.5","0.0","0.0","0.1","26.9","166","1"
"Occupational health and safety specialists and technicians","=""19-5000""","Summary","0.4","0.0","0.3","0.5","0.0","0.3","0.1","27.2","229","2"
"Occupational health and safety specialists","=""19-5011""","Line Item","0.3","0.0","0.3","0.4","0.0","0.3","0.1","27.4","230","3"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","0.1","0.0","0.0","0.2","0.0","0.0","0.0","14.8","355","1"
"Media and communication workers","=""27-3000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","14.8","389","2"
"Writers and editors","=""27-3040""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","14.8","393","3"
"Protective service occupations","=""33-0000""","Summary","1.1","0.1","0.0","1.2","0.1","0.0","0.1","13.6","522","1"
"Other protective service workers","=""33-9000""","Summary","1.1","0.1","0.1","1.2","0.1","0.1","0.1","13.6","546","2"
"Private detectives and investigators","=""33-9021""","Line Item","0.9","0.1","2.5","1.1","0.1","2.7","0.1","14.8","548","3"
"Security guards and gambling surveillance officers","=""33-9030""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.6","549","3"
"Security guards","=""33-9032""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.6","551","4"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","1.4","0.1","0.0","1.6","0.1","0.0","0.2","13.6","581","1"
"Building cleaning and pest control workers","=""37-2000""","Summary","1.4","0.1","0.0","1.6","0.1","0.0","0.2","13.6","585","2"
"Building cleaning workers","=""37-2010""","Summary","1.4","0.1","0.0","1.6","0.1","0.0","0.2","13.6","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","1.4","0.1","0.1","1.6","0.1","0.1","0.2","13.6","587","4"
"Sales and related occupations","=""41-0000""","Summary","5.1","0.5","0.0","5.8","0.5","0.0","0.7","13.8","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","14.8","645","2"
