"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","16.4","100.0","0.0","19.1","100.0","0.0","2.6","16.0","","0"
"Management occupations","=""11-0000""","Summary","2.9","17.6","0.0","3.5","18.4","0.0","0.6","21.4","2","1"
"Top executives","=""11-1000""","Summary","1.2","7.6","0.0","1.4","7.6","0.0","0.2","16.1","3","2"
"Chief executives","=""11-1011""","Line Item","0.1","0.8","0.0","0.1","0.7","0.1","0.0","0.3","4","3"
"General and operations managers","=""11-1021""","Line Item","1.1","6.8","0.0","1.3","6.9","0.0","0.2","17.9","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.2","1.0","0.0","0.2","1.1","0.0","0.0","17.9","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.2","1.0","0.0","0.2","1.0","0.0","0.0","17.9","9","3"
"Marketing managers","=""11-2021""","Line Item","0.1","0.6","0.0","0.1","0.6","0.0","0.0","17.9","10","4"
"Sales managers","=""11-2022""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","17.9","11","4"
"Operations specialties managers","=""11-3000""","Summary","1.1","6.9","0.0","1.5","7.6","0.1","0.3","28.6","15","2"
"Computer and information systems managers","=""11-3021""","Line Item","0.1","0.5","0.0","0.1","0.5","0.0","0.0","26.2","19","3"
"Financial managers","=""11-3031""","Line Item","1.0","5.9","0.1","1.3","6.6","0.1","0.3","29.7","20","3"
"Other management occupations","=""11-9000""","Summary","0.3","2.1","0.0","0.4","2.1","0.0","0.1","18.2","27","2"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.2","1.4","0.1","0.3","1.5","0.1","0.0","17.9","44","3"
"Managers, all other","=""11-9199""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","17.9","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","5.6","34.2","0.1","6.8","35.4","0.1","1.1","20.0","51","1"
"Business operations specialists","=""13-1000""","Summary","1.4","8.4","0.0","1.6","8.6","0.0","0.3","19.1","52","2"
"Compliance officers","=""13-1041""","Line Item","0.1","0.4","0.0","0.1","0.4","0.0","0.0","17.9","58","3"
"Human resources workers","=""13-1070""","Summary","0.2","1.0","0.0","0.2","1.0","0.0","0.0","15.6","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.2","1.0","0.0","0.2","1.0","0.0","0.0","15.6","61","4"
