"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","178.2","100.0","0.1","180.5","100.0","0.1","2.3","1.3","","0"
"Management occupations","=""11-0000""","Summary","11.7","6.6","0.1","11.9","6.6","0.1","0.2","1.7","2","1"
"Top executives","=""11-1000""","Summary","10.2","5.7","0.3","10.4","5.8","0.3","0.2","1.6","3","2"
"Chief executives","=""11-1011""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-13.4","4","3"
"General and operations managers","=""11-1021""","Line Item","10.1","5.7","0.3","10.3","5.7","0.3","0.2","1.8","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","1.2","0.7","0.1","1.2","0.7","0.1","0.0","1.8","7","2"
"Marketing and sales managers","=""11-2020""","Summary","1.2","0.7","0.1","1.2","0.7","0.1","0.0","1.8","9","3"
"Marketing managers","=""11-2021""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","1.8","10","4"
"Sales managers","=""11-2022""","Line Item","1.1","0.6","0.2","1.1","0.6","0.2","0.0","1.8","11","4"
"Operations specialties managers","=""11-3000""","Summary","0.2","0.1","0.0","0.2","0.1","0.0","0.0","3.0","15","2"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.8","23","3"
"Business and financial operations occupations","=""13-0000""","Summary","2.1","1.2","0.0","2.0","1.1","0.0","0.0","-1.6","51","1"
"Business operations specialists","=""13-1000""","Summary","1.8","1.0","0.0","1.8","1.0","0.0","0.0","-2.0","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","1.0","0.6","0.2","1.0","0.5","0.2","-0.1","-8.4","54","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.5","0.3","0.1","0.5","0.3","0.1","0.0","9.0","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.2","0.1","0.0","0.2","0.1","0.0","0.0","1.8","73","3"
"Financial specialists","=""13-2000""","Summary","0.2","0.1","0.0","0.2","0.1","0.0","0.0","1.8","74","2"
"Accountants and auditors","=""13-2011""","Line Item","0.2","0.1","0.0","0.2","0.1","0.0","0.0","1.8","75","3"
"Computer and mathematical occupations","=""15-0000""","Summary","0.3","0.2","0.0","0.3","0.2","0.0","0.0","-0.7","92","1"
"Computer occupations","=""15-1200""","Summary","0.3","0.2","0.0","0.3","0.2","0.0","0.0","-0.7","93","2"
"Computer support specialists","=""15-1230""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-1.6","98","3"
"Computer user support specialists","=""15-1232""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-2.2","100","4"
