"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","45.9","100.0","0.0","37.1","100.0","0.0","-8.8","-19.1","","0"
"Management occupations","=""11-0000""","Summary","2.8","6.1","0.0","2.3","6.2","0.0","-0.5","-17.7","2","1"
"Top executives","=""11-1000""","Summary","2.3","5.1","0.1","1.9","5.2","0.0","-0.4","-17.9","3","2"
"Chief executives","=""11-1011""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-29.8","4","3"
"General and operations managers","=""11-1021""","Line Item","2.3","4.9","0.1","1.9","5.0","0.1","-0.4","-17.4","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.2","0.4","0.0","0.1","0.4","0.0","0.0","-17.4","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.2","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","9","3"
"Sales managers","=""11-2022""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","11","4"
"Operations specialties managers","=""11-3000""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-15.8","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","17","4"
"Other management occupations","=""11-9000""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","27","2"
"Managers, all other","=""11-9199""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","1.3","2.8","0.0","1.1","2.9","0.0","-0.2","-15.9","51","1"
"Business operations specialists","=""13-1000""","Summary","1.2","2.5","0.0","1.0","2.6","0.0","-0.2","-15.8","52","2"
"Human resources workers","=""13-1070""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-19.1","60","3"
"Human resources specialists","=""13-1071""","Line Item","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-19.1","61","4"
"Logisticians and project management specialists","=""13-1080""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","64","3"
"Project management specialists","=""13-1082""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","66","4"
"Meeting, convention, and event planners","=""13-1121""","Line Item","0.2","0.5","0.2","0.2","0.5","0.1","0.0","-17.4","68","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","0.4","0.8","0.0","0.3","0.8","0.0","0.0","-11.6","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","0.3","0.7","0.0","0.2","0.7","0.0","-0.1","-17.4","73","3"
"Financial specialists","=""13-2000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","74","2"
"Accountants and auditors","=""13-2011""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","75","3"
"Computer and mathematical occupations","=""15-0000""","Summary","0.5","1.2","0.0","0.5","1.2","0.0","-0.1","-15.4","92","1"
"Computer occupations","=""15-1200""","Summary","0.5","1.2","0.0","0.5","1.2","0.0","-0.1","-15.4","93","2"
"Computer support specialists","=""15-1230""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-20.4","98","3"
"Computer user support specialists","=""15-1232""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-20.7","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-20.6","101","3"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","0.2","0.4","0.0","0.2","0.5","0.0","0.0","-9.0","106","3"
"Software developers","=""15-1252""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-5.0","108","4"
"Web developers","=""15-1254""","Line Item","0.1","0.1","0.1","0.0","0.1","0.0","0.0","-9.1","110","4"
"Architecture and engineering occupations","=""17-0000""","Summary","0.1","0.1","0.0","0.1","0.1","0.0","0.0","-17.8","120","1"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","27.6","60.1","0.9","22.7","61.2","0.7","-4.8","-17.5","355","1"
"Art and design workers","=""27-1000""","Summary","1.1","2.5","0.1","0.9","2.5","0.1","-0.2","-17.3","356","2"
"Artists and related workers","=""27-1010""","Summary","0.4","0.9","0.1","0.3","0.9","0.1","-0.1","-17.4","357","3"
"Art directors","=""27-1011""","Line Item","0.3","0.7","0.2","0.3","0.7","0.2","-0.1","-17.4","358","4"
"Designers","=""27-1020""","Summary","0.7","1.6","0.1","0.6","1.6","0.1","-0.1","-17.3","363","3"
"Graphic designers","=""27-1024""","Line Item","0.5","1.2","0.2","0.4","1.2","0.2","-0.1","-17.4","367","4"
"Set and exhibit designers","=""27-1027""","Line Item","0.1","0.3","0.5","0.1","0.3","0.4","0.0","-17.4","370","4"
"Entertainers and performers, sports and related workers","=""27-2000""","Summary","0.5","1.1","0.1","0.4","1.1","0.0","-0.1","-17.4","372","2"
"Actors, producers, and directors","=""27-2010""","Summary","0.5","1.1","0.2","0.4","1.1","0.2","-0.1","-17.4","373","3"
"Producers and directors","=""27-2012""","Line Item","0.5","1.1","0.3","0.4","1.1","0.2","-0.1","-17.4","375","4"
"Media and communication workers","=""27-3000""","Summary","0.4","0.8","0.0","0.3","0.8","0.0","-0.1","-17.4","389","2"
"Writers and editors","=""27-3040""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","393","3"
"Editors","=""27-3041""","Line Item","0.1","0.2","0.1","0.1","0.2","0.1","0.0","-17.4","394","4"
"Media and communication equipment workers","=""27-4000""","Summary","25.6","55.7","6.4","21.1","56.8","5.1","-4.5","-17.5","401","2"
"Broadcast, sound, and lighting technicians","=""27-4010""","Summary","0.3","0.7","0.2","0.3","0.7","0.2","-0.1","-20.0","402","3"
"Audio and video technicians","=""27-4011""","Line Item","0.2","0.5","0.3","0.2","0.5","0.2","0.0","-17.4","403","4"
"Lighting technicians","=""27-4015""","Line Item","0.1","0.2","0.8","0.1","0.2","0.6","0.0","-25.7","406","4"
"Photographers","=""27-4021""","Line Item","23.8","51.8","16.0","19.6","52.9","12.7","-4.1","-17.4","407","3"
"Television, video, and film camera operators and editors","=""27-4030""","Summary","1.2","2.6","1.4","1.0","2.6","1.0","-0.2","-19.6","408","3"
"Camera operators, television, video, and film","=""27-4031""","Line Item","0.7","1.4","1.8","0.5","1.3","1.3","-0.2","-26.5","409","4"
"Film and video editors","=""27-4032""","Line Item","0.5","1.1","1.0","0.5","1.3","0.8","-0.1","-10.8","410","4"
"Media and communication equipment workers, all other","=""27-4099""","Line Item","0.3","0.6","1.5","0.2","0.6","1.2","0.0","-17.4","411","3"
"Food preparation and serving related occupations","=""35-0000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","558","1"
"Food and beverage serving workers","=""35-3000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","571","2"
"Fast food and counter workers","=""35-3023""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","573","3"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","0.2","0.4","0.0","0.1","0.4","0.0","0.0","-17.8","581","1"
"Building cleaning and pest control workers","=""37-2000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-18.2","585","2"
"Building cleaning workers","=""37-2010""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-18.2","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-18.2","587","4"
"Personal care and service occupations","=""39-0000""","Summary","0.3","0.6","0.0","0.2","0.6","0.0","0.0","-17.4","596","1"
"Personal appearance workers","=""39-5000""","Summary","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-17.4","623","2"
"Barbers, hairdressers, hairstylists and cosmetologists","=""39-5010""","Summary","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-17.4","624","3"
"Hairdressers, hairstylists, and cosmetologists","=""39-5012""","Line Item","0.2","0.5","0.0","0.2","0.5","0.0","0.0","-17.4","626","4"
"Sales and related occupations","=""41-0000""","Summary","2.3","5.0","0.0","1.9","5.0","0.0","-0.4","-18.5","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","0.2","0.4","0.0","0.1","0.4","0.0","0.0","-17.4","645","2"
"First-line supervisors of retail sales workers","=""41-1011""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","646","3"
"First-line supervisors of non-retail sales workers","=""41-1012""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","647","3"
"Retail sales workers","=""41-2000""","Summary","0.7","1.6","0.0","0.6","1.6","0.0","-0.1","-19.0","648","2"
"Retail salespersons","=""41-2031""","Line Item","0.6","1.4","0.0","0.5","1.4","0.0","-0.1","-17.4","655","3"
"Sales representatives, services","=""41-3000""","Summary","1.1","2.3","0.0","0.9","2.4","0.0","-0.2","-17.4","656","2"
"Sales representatives of services, except advertising, insurance, financial services, and travel","=""41-3091""","Line Item","1.1","2.3","0.1","0.9","2.4","0.1","-0.2","-17.4","661","3"
"Sales representatives, wholesale and manufacturing","=""41-4000""","Summary","0.2","0.4","0.0","0.1","0.4","0.0","0.0","-17.4","662","2"
"Sales representatives, wholesale and manufacturing, except technical and scientific products","=""41-4012""","Line Item","0.2","0.3","0.0","0.1","0.3","0.0","0.0","-17.4","664","3"
"Other sales and related workers","=""41-9000""","Summary","0.1","0.3","0.0","0.1","0.2","0.0","0.0","-28.7","665","2"
"Telemarketers","=""41-9041""","Line Item","0.1","0.2","0.1","0.1","0.2","0.1","0.0","-33.9","673","3"
"Office and administrative support occupations","=""43-0000""","Summary","7.9","17.3","0.0","5.8","15.7","0.0","-2.1","-26.6","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","0.5","1.0","0.0","0.4","0.9","0.0","-0.1","-25.7","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","0.5","1.0","0.0","0.4","0.9","0.0","-0.1","-25.7","679","3"
"Financial clerks","=""43-3000""","Summary","0.8","1.8","0.0","0.6","1.7","0.0","-0.2","-25.8","684","2"
"Bookkeeping, accounting, and auditing clerks","=""43-3031""","Line Item","0.8","1.8","0.0","0.6","1.6","0.0","-0.2","-25.7","687","3"
"Information and record clerks","=""43-4000""","Summary","2.4","5.3","0.0","1.8","4.8","0.0","-0.6","-26.2","693","2"
"Customer service representatives","=""43-4051""","Line Item","1.7","3.8","0.1","1.3","3.5","0.0","-0.4","-25.7","698","3"
"Order clerks","=""43-4151""","Line Item","0.1","0.2","0.1","0.1","0.2","0.1","0.0","-33.9","706","3"
"Receptionists and information clerks","=""43-4171""","Line Item","0.6","1.3","0.1","0.4","1.2","0.0","-0.2","-26.5","708","3"
"Material recording, scheduling, dispatching, and distributing workers","=""43-5000""","Summary","0.5","1.2","0.0","0.4","1.2","0.0","-0.1","-19.5","711","2"
"Production, planning, and expediting clerks","=""43-5061""","Line Item","0.4","0.9","0.1","0.3","0.9","0.1","-0.1","-17.4","722","3"
"Shipping, receiving, and inventory clerks","=""43-5071""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-25.7","723","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","0.8","1.7","0.0","0.5","1.5","0.0","-0.2","-30.8","725","2"
"Executive secretaries and executive administrative assistants","=""43-6011""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-38.1","726","3"
"Secretaries and administrative assistants, except legal, medical, and executive","=""43-6014""","Line Item","0.7","1.5","0.0","0.5","1.3","0.0","-0.2","-29.8","729","3"
"Other office and administrative support workers","=""43-9000""","Summary","2.9","6.2","0.1","2.1","5.6","0.1","-0.8","-27.5","730","2"
"Data entry and information processing workers","=""43-9020""","Summary","0.3","0.7","0.1","0.2","0.5","0.1","-0.1","-42.2","731","3"
"Data entry keyers","=""43-9021""","Line Item","0.3","0.7","0.2","0.2","0.5","0.1","-0.1","-42.2","732","4"
"Office clerks, general","=""43-9061""","Line Item","2.5","5.4","0.1","1.9","5.0","0.1","-0.6","-25.7","737","3"
"Office and administrative support workers, all other","=""43-9199""","Line Item","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-27.3","741","3"
"Construction and extraction occupations","=""47-0000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","-17.4","763","1"
"Construction trades workers","=""47-2000""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-17.4","766","2"
"Carpenters","=""47-2031""","Line Item","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-17.4","771","3"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-17.4","840","1"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","0.1","0.1","0.0","0.0","0.1","0.0","0.0","-17.4","876","2"
