"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","6.8","100.0","0.0","6.9","100.0","0.0","0.1","1.0","","0"
"Management occupations","=""11-0000""","Summary","0.3","4.3","0.0","0.3","4.4","0.0","0.0","3.7","2","1"
"Top executives","=""11-1000""","Summary","0.1","1.3","0.0","0.1","1.3","0.0","0.0","1.7","3","2"
"General and operations managers","=""11-1021""","Line Item","0.1","1.2","0.0","0.1","1.2","0.0","0.0","3.1","5","3"
"Other management occupations","=""11-9000""","Summary","0.2","2.7","0.0","0.2","2.8","0.0","0.0","4.2","27","2"
"Education and childcare administrators","=""11-9030""","Summary","0.2","2.3","0.0","0.2","2.3","0.0","0.0","3.1","30","3"
"Education administrators, all other","=""11-9039""","Line Item","0.1","1.4","0.2","0.1","1.4","0.2","0.0","3.1","34","4"
"Business and financial operations occupations","=""13-0000""","Summary","0.2","3.4","0.0","0.2","3.5","0.0","0.0","3.1","51","1"
"Business operations specialists","=""13-1000""","Summary","0.2","2.4","0.0","0.2","2.5","0.0","0.0","3.2","52","2"
"Training and development specialists","=""13-1151""","Line Item","0.1","1.4","0.0","0.1","1.4","0.0","0.0","3.1","71","3"
"Financial specialists","=""13-2000""","Summary","0.1","1.0","0.0","0.1","1.0","0.0","0.0","3.1","74","2"
"Computer and mathematical occupations","=""15-0000""","Summary","0.1","1.7","0.0","0.1","1.8","0.0","0.0","7.7","92","1"
"Computer occupations","=""15-1200""","Summary","0.1","1.7","0.0","0.1","1.8","0.0","0.0","7.4","93","2"
"Community and social service occupations","=""21-0000""","Summary","0.1","2.1","0.0","0.1","2.1","0.0","0.0","3.2","232","1"
"Counselors, social workers, and other community and social service specialists","=""21-1000""","Summary","0.1","2.1","0.0","0.1","2.1","0.0","0.0","3.2","233","2"
"Counselors","=""21-1010""","Summary","0.1","0.8","0.0","0.1","0.8","0.0","0.0","3.1","234","3"
"Social workers","=""21-1020""","Summary","0.1","0.9","0.0","0.1","0.9","0.0","0.0","3.1","240","3"
"Child, family, and school social workers","=""21-1021""","Line Item","0.1","0.8","0.0","0.1","0.9","0.0","0.0","3.1","241","4"
"Educational instruction and library occupations","=""25-0000""","Summary","4.0","59.6","0.0","4.1","59.8","0.0","0.0","1.2","269","1"
"Preschool, elementary, middle, secondary, and special education teachers","=""25-2000""","Summary","0.5","7.3","0.0","0.5","7.5","0.0","0.0","3.1","318","2"
"Preschool and kindergarten teachers","=""25-2010""","Summary","0.3","3.7","0.0","0.3","3.8","0.0","0.0","3.1","319","3"
"Preschool teachers, except special education","=""25-2011""","Line Item","0.3","3.7","0.0","0.3","3.8","0.0","0.0","3.1","320","4"
"Special education teachers","=""25-2050""","Summary","0.2","2.5","0.0","0.2","2.5","0.0","0.0","3.1","329","3"
"Special education teachers, all other","=""25-2059""","Line Item","0.1","2.1","0.3","0.1","2.2","0.3","0.0","3.1","334","4"
"Other teachers and instructors","=""25-3000""","Summary","3.1","46.3","0.3","3.2","46.1","0.3","0.0","0.7","335","2"
"Adult basic education, adult secondary education, and english as a second language instructors","=""25-3011""","Line Item","0.5","7.1","1.1","0.4","6.1","1.1","-0.1","-12.4","336","3"
"Self-enrichment teachers","=""25-3021""","Line Item","0.6","8.3","0.2","0.6","8.4","0.2","0.0","3.1","337","3"
"Tutors","=""25-3041""","Line Item","2.1","30.3","0.9","2.1","30.9","0.9","0.1","3.1","339","3"
"Other educational instruction and library occupations","=""25-9000""","Summary","0.3","5.0","0.0","0.4","5.1","0.0","0.0","3.1","348","2"
"Instructional coordinators","=""25-9031""","Line Item","0.1","1.1","0.0","0.1","1.2","0.0","0.0","3.1","350","3"
"Teaching assistants","=""25-9040""","Summary","0.2","2.9","0.0","0.2","2.9","0.0","0.0","3.1","351","3"
"Teaching assistants, except postsecondary","=""25-9045""","Line Item","0.2","2.9","0.0","0.2","2.9","0.0","0.0","3.1","353","4"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","0.4","5.6","0.0","0.4","5.7","0.0","0.0","3.1","355","1"
"Entertainers and performers, sports and related workers","=""27-2000""","Summary","0.3","4.9","0.0","0.3","5.0","0.0","0.0","3.1","372","2"
"Athletes, coaches, umpires, and related workers","=""27-2020""","Summary","0.3","4.7","0.1","0.3","4.8","0.1","0.0","3.1","376","3"
"Coaches and scouts","=""27-2022""","Line Item","0.3","4.6","0.1","0.3","4.7","0.1","0.0","3.1","378","4"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","0.1","1.5","0.0","0.1","1.5","0.0","0.0","2.4","581","1"
"Building cleaning and pest control workers","=""37-2000""","Summary","0.1","1.0","0.0","0.1","1.0","0.0","0.0","2.1","585","2"
"Building cleaning workers","=""37-2010""","Summary","0.1","1.0","0.0","0.1","1.0","0.0","0.0","2.1","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","0.1","0.9","0.0","0.1","0.9","0.0","0.0","2.0","587","4"
"Personal care and service occupations","=""39-0000""","Summary","0.6","9.3","0.0","0.7","9.5","0.0","0.0","3.1","596","1"
"Entertainment attendants and related workers","=""39-3000""","Summary","0.1","1.2","0.0","0.1","1.2","0.0","0.0","3.1","605","2"
"Miscellaneous entertainment attendants and related workers","=""39-3090""","Summary","0.1","1.2","0.0","0.1","1.2","0.0","0.0","3.1","612","3"
"Amusement and recreation attendants","=""39-3091""","Line Item","0.1","1.2","0.0","0.1","1.2","0.0","0.0","3.1","613","4"
