"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","3.0","100.0","0.0","3.1","100.0","0.0","0.2","5.2","","0"
"Management occupations","=""11-0000""","Summary","0.2","7.6","0.0","0.2","7.7","0.0","0.0","7.4","2","1"
"Top executives","=""11-1000""","Summary","0.2","5.2","0.0","0.2","5.3","0.0","0.0","6.8","3","2"
"General and operations managers","=""11-1021""","Line Item","0.2","5.2","0.0","0.2","5.3","0.0","0.0","7.1","5","3"
"Personal care and service occupations","=""39-0000""","Summary","0.3","11.1","0.0","0.4","11.3","0.0","0.0","7.1","596","1"
"Tour and travel guides","=""39-7000""","Summary","0.2","5.5","0.3","0.2","5.6","0.3","0.0","7.1","635","2"
"Tour and travel guides","=""39-7010""","Line Item","0.2","5.5","0.3","0.2","5.6","0.3","0.0","7.1","636","3"
"Sales and related occupations","=""41-0000""","Summary","0.1","4.4","0.0","0.1","4.2","0.0","0.0","1.6","644","1"
"Retail sales workers","=""41-2000""","Summary","0.1","3.4","0.0","0.1","3.2","0.0","0.0","0.0","648","2"
"Office and administrative support occupations","=""43-0000""","Summary","0.6","21.1","0.0","0.6","19.9","0.0","0.0","-0.8","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","0.1","3.9","0.0","0.1","3.5","0.0","0.0","-3.6","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","0.1","3.9","0.0","0.1","3.5","0.0","0.0","-3.6","679","3"
"Information and record clerks","=""43-4000""","Summary","0.3","9.0","0.0","0.3","8.8","0.0","0.0","2.6","693","2"
"Reservation and transportation ticket agents and travel clerks","=""43-4181""","Line Item","0.2","5.2","0.1","0.2","5.3","0.1","0.0","7.1","709","3"
"Other office and administrative support workers","=""43-9000""","Summary","0.1","4.4","0.0","0.1","4.1","0.0","0.0","-3.6","730","2"
"Office clerks, general","=""43-9061""","Line Item","0.1","4.4","0.0","0.1","4.1","0.0","0.0","-3.6","737","3"
"Installation, maintenance, and repair occupations","=""49-0000""","Summary","0.4","14.3","0.0","0.5","14.6","0.0","0.0","7.1","840","1"
"Vehicle and mobile equipment mechanics, installers, and repairers","=""49-3000""","Summary","0.3","10.1","0.0","0.3","10.3","0.0","0.0","7.1","857","2"
"Aircraft mechanics and service technicians","=""49-3011""","Line Item","0.3","10.1","0.2","0.3","10.3","0.2","0.0","7.1","858","3"
"Other installation, maintenance, and repair occupations","=""49-9000""","Summary","0.1","3.2","0.0","0.1","3.2","0.0","0.0","7.1","876","2"
"Miscellaneous installation, maintenance, and repair workers","=""49-9090""","Summary","0.1","2.9","0.0","0.1","3.0","0.0","0.0","7.1","898","3"
"Helpers--installation, maintenance, and repair workers","=""49-9098""","Line Item","0.1","2.7","0.1","0.1","2.7","0.1","0.0","7.1","905","4"
"Transportation and material moving occupations","=""53-0000""","Summary","1.0","34.3","0.0","1.1","34.9","0.0","0.1","7.1","1047","1"
"Air transportation workers","=""53-2000""","Summary","0.6","21.4","0.2","0.7","21.8","0.2","0.0","7.1","1051","2"
"Aircraft pilots and flight engineers","=""53-2010""","Summary","0.6","19.3","0.4","0.6","19.7","0.4","0.0","7.1","1052","3"
"Commercial pilots","=""53-2012""","Line Item","0.6","18.7","1.1","0.6","19.0","1.1","0.0","7.1","1054","4"
"Other transportation workers","=""53-6000""","Summary","0.2","5.5","0.1","0.2","5.6","0.1","0.0","7.1","1085","2"
"Transportation workers, all other","=""53-6099""","Line Item","0.1","4.1","1.0","0.1","4.1","1.0","0.0","7.1","1094","3"
"Material moving workers","=""53-7000""","Summary","0.1","3.0","0.0","0.1","3.1","0.0","0.0","7.1","1095","2"
"Laborers and material movers","=""53-7060""","Summary","0.1","3.0","0.0","0.1","3.0","0.0","0.0","7.1","1101","3"
"Laborers and freight, stock, and material movers, hand","=""53-7062""","Line Item","0.1","2.8","0.0","0.1","2.8","0.0","0.0","7.1","1103","4"
