"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","28.4","100.0","0.0","28.5","100.0","0.0","0.1","0.3","","0"
"Management occupations","=""11-0000""","Summary","3.2","11.3","0.0","3.2","11.3","0.0","0.0","0.1","2","1"
"Top executives","=""11-1000""","Summary","0.6","2.2","0.0","0.6","2.2","0.0","0.0","0.1","3","2"
"General and operations managers","=""11-1021""","Line Item","0.6","2.2","0.0","0.6","2.2","0.0","0.0","0.1","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","0.1","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.1","0.3","0.0","0.1","0.3","0.0","0.0","0.1","9","3"
"Sales managers","=""11-2022""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","0.1","11","4"
"Other management occupations","=""11-9000""","Summary","2.5","8.9","0.0","2.5","8.9","0.0","0.0","0.1","27","2"
"Farmers, ranchers, and other agricultural managers","=""11-9013""","Line Item","1.2","4.1","0.1","1.2","4.1","0.1","0.0","0.1","28","3"
"Personal service managers","=""11-9170""","Summary","0.1","0.3","0.1","0.1","0.3","0.1","0.0","0.1","47","3"
"Managers, all other","=""11-9199""","Line Item","1.3","4.6","0.1","1.3","4.6","0.1","0.0","0.1","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","0.1","51","1"
"Business operations specialists","=""13-1000""","Summary","0.1","0.2","0.0","0.1","0.2","0.0","0.0","0.1","52","2"
"Business operations specialists, all other","=""13-1199""","Line Item","0.1","0.2","0.0","0.1","0.2","0.0","0.0","0.1","73","3"
"Computer and mathematical occupations","=""15-0000""","Summary","0.7","2.5","0.0","0.9","3.0","0.0","0.1","19.1","92","1"
"Computer occupations","=""15-1200""","Summary","0.2","0.6","0.0","0.2","0.6","0.0","0.0","0.1","93","2"
"Computer and information analysts","=""15-1210""","Summary","0.2","0.6","0.0","0.2","0.6","0.0","0.0","0.1","94","3"
"Computer systems analysts","=""15-1211""","Line Item","0.2","0.6","0.0","0.2","0.6","0.0","0.0","0.1","95","4"
"Mathematical science occupations","=""15-2000""","Summary","0.6","2.0","0.2","0.7","2.4","0.2","0.1","24.7","113","2"
"Statisticians","=""15-2041""","Line Item","0.1","0.2","0.2","0.1","0.3","0.2","0.0","25.2","117","3"
"Data scientists","=""15-2051""","Line Item","0.5","1.7","0.3","0.6","2.1","0.3","0.1","25.2","118","3"
"Life, physical, and social science occupations","=""19-0000""","Summary","0.3","1.0","0.0","0.3","1.0","0.0","0.0","0.1","166","1"
"Life, physical, and social science technicians","=""19-4000""","Summary","0.3","1.0","0.1","0.3","1.0","0.1","0.0","0.1","213","2"
"Agricultural and food science technicians","=""19-4010""","Summary","0.3","1.0","0.7","0.3","1.0","0.7","0.0","0.1","214","3"
"Agricultural technicians","=""19-4012""","Line Item","0.1","0.4","0.7","0.1","0.4","0.6","0.0","0.1","215","4"
"Food science technicians","=""19-4013""","Line Item","0.2","0.6","0.8","0.2","0.6","0.7","0.0","0.1","216","4"
"Healthcare practitioners and technical occupations","=""29-0000""","Summary","0.1","0.5","0.0","0.1","0.5","0.0","0.0","0.1","412","1"
"Health technologists and technicians","=""29-2000""","Summary","0.1","0.5","0.0","0.1","0.5","0.0","0.0","0.1","464","2"
"Emergency medical technicians and paramedics","=""29-2040""","Summary","0.1","0.5","0.1","0.1","0.5","0.0","0.0","0.1","473","3"
"Paramedics","=""29-2043""","Line Item","0.1","0.5","0.1","0.1","0.5","0.1","0.0","0.1","475","4"
