"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","22.4","100.0","0.0","17.6","100.0","0.0","-4.8","-21.2","","0"
"Management occupations","=""11-0000""","Summary","5.6","25.1","0.0","4.5","25.7","0.0","-1.1","-19.5","2","1"
"Top executives","=""11-1000""","Summary","3.3","14.7","0.1","2.6","14.8","0.1","-0.7","-20.7","3","2"
"Chief executives","=""11-1011""","Line Item","0.3","1.3","0.1","0.2","1.1","0.1","-0.1","-31.7","4","3"
"General and operations managers","=""11-1021""","Line Item","3.0","13.4","0.1","2.4","13.7","0.1","-0.6","-19.6","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","0.9","4.0","0.1","0.7","4.1","0.1","-0.2","-19.6","7","2"
"Marketing and sales managers","=""11-2020""","Summary","0.9","3.9","0.1","0.7","4.0","0.1","-0.2","-19.6","9","3"
"Marketing managers","=""11-2021""","Line Item","0.6","2.7","0.2","0.5","2.7","0.1","-0.1","-19.6","10","4"
"Sales managers","=""11-2022""","Line Item","0.3","1.2","0.0","0.2","1.2","0.0","-0.1","-19.6","11","4"
"Operations specialties managers","=""11-3000""","Summary","0.8","3.5","0.0","0.7","3.8","0.0","-0.1","-15.0","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","0.1","0.4","0.0","0.1","0.4","0.0","0.0","-19.6","16","3"
"Administrative services managers","=""11-3012""","Line Item","0.1","0.3","0.0","0.1","0.3","0.0","0.0","-19.6","17","4"
"Computer and information systems managers","=""11-3021""","Line Item","0.1","0.5","0.0","0.1","0.5","0.0","0.0","-14.0","19","3"
"Financial managers","=""11-3031""","Line Item","0.4","1.7","0.0","0.3","1.9","0.0","0.0","-11.6","20","3"
"Training and development managers","=""11-3131""","Line Item","0.2","0.7","0.4","0.1","0.7","0.3","0.0","-19.6","26","3"
"Other management occupations","=""11-9000""","Summary","0.6","2.8","0.0","0.5","2.9","0.0","-0.1","-18.8","27","2"
