"Occupation Title","Occupation Code","Occupation Type","2022 Employment","2022 Percent of Industry","2022 Percent of Occupation","Projected 2032 Employment","Projected 2032 Percent of Industry","Projected 2032 Percent of Occupation","Employment Change, 2022-2032","Employment Percent Change, 2022-2032","Occupation Sort","Display Level"
"Total, all occupations","=""00-0000""","Summary","2,094.4","100.0","1.3","2,088.3","100.0","1.2","-6.1","-0.3","","0"
"Management occupations","=""11-0000""","Summary","219.3","10.5","1.7","243.5","11.7","1.8","24.2","11.0","2","1"
"Top executives","=""11-1000""","Summary","58.7","2.8","1.5","61.4","2.9","1.6","2.6","4.5","3","2"
"Chief executives","=""11-1011""","Line Item","5.3","0.3","1.9","4.8","0.2","1.9","-0.5","-10.0","4","3"
"General and operations managers","=""11-1021""","Line Item","53.5","2.6","1.5","56.6","2.7","1.5","3.2","5.9","5","3"
"Advertising, marketing, promotions, public relations, and sales managers","=""11-2000""","Summary","19.3","0.9","1.8","20.4","1.0","1.9","1.1","5.9","7","2"
"Advertising and promotions managers","=""11-2011""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","5.9","8","3"
"Marketing and sales managers","=""11-2020""","Summary","18.3","0.9","2.0","19.3","0.9","2.0","1.1","5.9","9","3"
"Marketing managers","=""11-2021""","Line Item","8.5","0.4","2.4","9.0","0.4","2.4","0.5","5.9","10","4"
"Sales managers","=""11-2022""","Line Item","9.8","0.5","1.8","10.3","0.5","1.8","0.6","5.9","11","4"
"Public relations and fundraising managers","=""11-2030""","Summary","0.9","0.0","0.9","1.0","0.0","0.9","0.1","5.9","12","3"
"Public relations managers","=""11-2032""","Line Item","0.9","0.0","1.3","1.0","0.0","1.3","0.1","5.9","13","4"
"Operations specialties managers","=""11-3000""","Summary","131.1","6.3","5.3","150.9","7.2","5.5","19.8","15.1","15","2"
"Administrative services and facilities managers","=""11-3010""","Summary","7.2","0.3","1.9","7.6","0.4","1.9","0.4","5.9","16","3"
"Administrative services managers","=""11-3012""","Line Item","6.0","0.3","2.4","6.4","0.3","2.4","0.4","5.9","17","4"
"Facilities managers","=""11-3013""","Line Item","1.2","0.1","0.9","1.2","0.1","0.9","0.1","5.9","18","4"
"Computer and information systems managers","=""11-3021""","Line Item","14.9","0.7","2.7","16.9","0.8","2.6","2.0","13.3","19","3"
"Financial managers","=""11-3031""","Line Item","103.0","4.9","13.0","120.0","5.7","13.1","17.0","16.5","20","3"
"Purchasing managers","=""11-3061""","Line Item","0.4","0.0","0.5","0.4","0.0","0.5","0.0","5.9","22","3"
"Transportation, storage, and distribution managers","=""11-3071""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","23","3"
"Compensation and benefits managers","=""11-3111""","Line Item","0.4","0.0","2.3","0.4","0.0","2.2","0.0","0.6","24","3"
"Human resources managers","=""11-3121""","Line Item","4.1","0.2","2.2","4.4","0.2","2.2","0.2","5.9","25","3"
"Training and development managers","=""11-3131""","Line Item","1.1","0.1","2.7","1.2","0.1","2.6","0.1","5.9","26","3"
"Other management occupations","=""11-9000""","Summary","10.2","0.5","0.2","10.8","0.5","0.2","0.6","6.0","27","2"
"Construction managers","=""11-9021""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","11.2","29","3"
"Property, real estate, and community association managers","=""11-9141""","Line Item","0.7","0.0","0.2","0.7","0.0","0.2","0.0","5.9","44","3"
"Managers, all other","=""11-9199""","Line Item","9.2","0.4","0.7","9.7","0.5","0.8","0.5","5.9","50","3"
"Business and financial operations occupations","=""13-0000""","Summary","501.3","23.9","4.7","527.2","25.2","4.7","25.9","5.2","51","1"
"Business operations specialists","=""13-1000""","Summary","116.9","5.6","1.6","124.7","6.0","1.6","7.8","6.6","52","2"
"Buyers and purchasing agents","=""13-1020""","Line Item","1.9","0.1","0.4","1.8","0.1","0.4","-0.1","-4.7","54","3"
"Claims adjusters, appraisers, examiners, and investigators","=""13-1030""","Summary","0.7","0.0","0.2","0.7","0.0","0.2","0.0","-4.7","55","3"
"Claims adjusters, examiners, and investigators","=""13-1031""","Line Item","0.7","0.0","0.2","0.7","0.0","0.2","0.0","-4.7","56","4"
"Compliance officers","=""13-1041""","Line Item","13.0","0.6","3.4","13.7","0.7","3.5","0.8","5.9","58","3"
"Human resources workers","=""13-1070""","Summary","13.4","0.6","1.4","13.9","0.7","1.4","0.5","3.8","60","3"
"Human resources specialists","=""13-1071""","Line Item","12.6","0.6","1.4","13.1","0.6","1.4","0.5","3.8","61","4"
"Labor relations specialists","=""13-1075""","Line Item","0.8","0.0","1.2","0.8","0.0","1.3","0.0","3.8","63","4"
"Logisticians and project management specialists","=""13-1080""","Summary","12.7","0.6","1.2","13.5","0.6","1.1","0.8","6.1","64","3"
"Logisticians","=""13-1081""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","18.6","65","4"
"Project management specialists","=""13-1082""","Line Item","12.6","0.6","1.4","13.3","0.6","1.4","0.7","5.9","66","4"
"Management analysts","=""13-1111""","Line Item","30.6","1.5","3.1","32.4","1.6","3.0","1.8","5.9","67","3"
"Meeting, convention, and event planners","=""13-1121""","Line Item","0.4","0.0","0.3","0.4","0.0","0.3","0.0","5.9","68","3"
"Compensation, benefits, and job analysis specialists","=""13-1141""","Line Item","2.0","0.1","2.0","2.1","0.1","2.0","0.1","5.9","70","3"
"Training and development specialists","=""13-1151""","Line Item","9.9","0.5","2.6","10.4","0.5","2.5","0.6","5.9","71","3"
"Market research analysts and marketing specialists","=""13-1161""","Line Item","18.4","0.9","2.1","20.9","1.0","2.1","2.5","13.3","72","3"
"Business operations specialists, all other","=""13-1199""","Line Item","13.8","0.7","1.2","14.6","0.7","1.2","0.8","5.9","73","3"
"Financial specialists","=""13-2000""","Summary","384.4","18.4","11.6","402.5","19.3","11.5","18.1","4.7","74","2"
"Accountants and auditors","=""13-2011""","Line Item","31.1","1.5","2.0","32.9","1.6","2.0","1.8","5.9","75","3"
"Property appraisers and assessors","=""13-2020""","Line Item","2.3","0.1","2.9","2.4","0.1","2.9","0.1","5.9","76","3"
"Budget analysts","=""13-2031""","Line Item","0.5","0.0","1.1","0.6","0.0","1.1","0.0","5.9","77","3"
"Credit analysts","=""13-2041""","Line Item","33.3","1.6","45.7","31.8","1.5","45.5","-1.6","-4.7","78","3"
"Financial analysts and advisors","=""13-2050""","Summary","96.4","4.6","11.6","105.2","5.0","11.7","8.8","9.1","79","3"
"Financial and investment analysts","=""13-2051""","Line Item","27.6","1.3","8.7","29.2","1.4","8.6","1.6","5.9","80","4"
"Personal financial advisors","=""13-2052""","Line Item","52.1","2.5","15.9","58.5","2.8","15.8","6.4","12.3","81","4"
"Insurance underwriters","=""13-2053""","Line Item","2.1","0.1","1.6","2.0","0.1","1.6","-0.1","-4.7","82","4"
"Financial risk specialists","=""13-2054""","Line Item","14.6","0.7","24.8","15.5","0.7","24.3","0.9","5.9","83","4"
"Financial examiners","=""13-2061""","Line Item","24.5","1.2","37.3","31.1","1.5","39.6","6.6","27.1","84","3"
"Credit counselors and loan officers","=""13-2070""","Summary","180.0","8.6","46.4","181.2","8.7","45.3","1.2","0.7","85","3"
"Credit counselors","=""13-2071""","Line Item","1.9","0.1","5.7","2.0","0.1","5.7","0.1","5.9","86","4"
"Loan officers","=""13-2072""","Line Item","178.1","8.5","50.2","179.3","8.6","49.1","1.1","0.6","87","4"
"Tax examiners, collectors and preparers, and revenue agents","=""13-2080""","Summary","0.3","0.0","0.2","0.3","0.0","0.2","0.0","5.9","88","3"
"Tax preparers","=""13-2082""","Line Item","0.3","0.0","0.2","0.3","0.0","0.3","0.0","5.9","90","4"
"Financial specialists, all other","=""13-2099""","Line Item","16.1","0.8","11.8","17.0","0.8","11.8","1.0","5.9","91","3"
"Computer and mathematical occupations","=""15-0000""","Summary","158.2","7.6","3.0","181.1","8.7","3.0","23.0","14.5","92","1"
"Computer occupations","=""15-1200""","Summary","140.8","6.7","2.9","159.2","7.6","2.8","18.4","13.0","93","2"
"Computer and information analysts","=""15-1210""","Summary","33.6","1.6","4.8","38.1","1.8","4.7","4.5","13.5","94","3"
"Computer systems analysts","=""15-1211""","Line Item","21.0","1.0","3.9","22.2","1.1","3.8","1.2","5.9","95","4"
"Information security analysts","=""15-1212""","Line Item","12.6","0.6","7.5","15.9","0.8","7.1","3.3","26.1","96","4"
"Computer support specialists","=""15-1230""","Summary","17.4","0.8","1.9","17.8","0.9","1.9","0.4","2.6","98","3"
"Computer network support specialists","=""15-1231""","Line Item","3.6","0.2","2.0","3.8","0.2","2.0","0.2","5.9","99","4"
"Computer user support specialists","=""15-1232""","Line Item","13.8","0.7","1.9","14.0","0.7","1.8","0.2","1.7","100","4"
"Database and network administrators and architects","=""15-1240""","Summary","19.5","0.9","2.9","19.9","1.0","2.9","0.4","1.9","101","3"
"Computer network architects","=""15-1241""","Line Item","4.7","0.2","2.6","4.7","0.2","2.5","0.0","0.6","102","4"
"Database administrators","=""15-1242""","Line Item","3.0","0.1","3.5","3.1","0.1","3.4","0.2","5.9","103","4"
"Database architects","=""15-1243""","Line Item","1.8","0.1","2.8","1.9","0.1","2.7","0.1","5.9","104","4"
"Network and computer systems administrators","=""15-1244""","Line Item","10.1","0.5","3.0","10.2","0.5","2.9","0.1","0.6","105","4"
"Software and web developers, programmers, and testers","=""15-1250""","Summary","63.8","3.0","3.0","76.4","3.7","2.9","12.6","19.8","106","3"
"Computer programmers","=""15-1251""","Line Item","2.3","0.1","1.6","2.0","0.1","1.5","-0.3","-13.1","107","4"
"Software developers","=""15-1252""","Line Item","52.4","2.5","3.3","63.8","3.1","3.2","11.4","21.8","108","4"
"Software quality assurance analysts and testers","=""15-1253""","Line Item","6.8","0.3","3.4","7.9","0.4","3.3","1.1","16.5","109","4"
"Web developers","=""15-1254""","Line Item","0.8","0.0","0.8","0.9","0.0","0.8","0.1","16.5","110","4"
"Web and digital interface designers","=""15-1255""","Line Item","1.6","0.1","1.3","1.8","0.1","1.3","0.3","16.5","111","4"
"Computer occupations, all other","=""15-1299""","Line Item","6.5","0.3","1.4","6.9","0.3","1.4","0.4","5.9","112","3"
"Mathematical science occupations","=""15-2000""","Summary","17.4","0.8","5.0","22.0","1.1","4.9","4.6","26.4","113","2"
"Operations research analysts","=""15-2031""","Line Item","9.8","0.5","8.9","12.0","0.6","8.9","2.1","21.8","116","3"
"Statisticians","=""15-2041""","Line Item","0.1","0.0","0.4","0.2","0.0","0.4","0.0","32.4","117","3"
"Data scientists","=""15-2051""","Line Item","7.4","0.4","4.4","9.8","0.5","4.3","2.4","32.4","118","3"
"Architecture and engineering occupations","=""17-0000""","Summary","0.3","0.0","0.0","0.4","0.0","0.0","0.0","8.2","120","1"
"Engineers","=""17-2000""","Summary","0.2","0.0","0.0","0.3","0.0","0.0","0.0","9.1","128","2"
"Computer hardware engineers","=""17-2061""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.9","134","3"
"Industrial engineers, including health and safety","=""17-2110""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","15.1","139","3"
"Industrial engineers","=""17-2112""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","15.5","141","4"
"Petroleum engineers","=""17-2171""","Line Item","0.1","0.0","0.3","0.1","0.0","0.3","0.0","5.9","147","3"
"Legal occupations","=""23-0000""","Summary","8.4","0.4","0.6","9.2","0.4","0.6","0.8","9.4","255","1"
"Lawyers, judges, and related workers","=""23-1000""","Summary","5.6","0.3","0.6","6.2","0.3","0.6","0.6","11.2","256","2"
"Lawyers and judicial law clerks","=""23-1010""","Summary","5.5","0.3","0.7","6.1","0.3","0.7","0.6","11.2","257","3"
"Lawyers","=""23-1011""","Line Item","5.5","0.3","0.7","6.1","0.3","0.7","0.6","11.2","258","4"
"Judges, magistrates, and other judicial workers","=""23-1020""","Summary","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.9","260","3"
"Arbitrators, mediators, and conciliators","=""23-1022""","Line Item","0.1","0.0","0.7","0.1","0.0","0.7","0.0","5.9","262","4"
"Legal support workers","=""23-2000""","Summary","2.9","0.1","0.6","3.0","0.1","0.6","0.2","5.9","264","2"
"Paralegals and legal assistants","=""23-2011""","Line Item","1.7","0.1","0.5","1.8","0.1","0.5","0.1","5.9","265","3"
"Miscellaneous legal support workers","=""23-2090""","Summary","1.1","0.1","1.0","1.2","0.1","1.1","0.1","5.9","266","3"
"Title examiners, abstractors, and searchers","=""23-2093""","Line Item","0.9","0.0","1.5","1.0","0.0","1.6","0.1","5.9","267","4"
"Legal support workers, all other","=""23-2099""","Line Item","0.2","0.0","0.4","0.2","0.0","0.4","0.0","5.9","268","4"
"Arts, design, entertainment, sports, and media occupations","=""27-0000""","Summary","5.5","0.3","0.2","5.8","0.3","0.2","0.3","5.9","355","1"
"Art and design workers","=""27-1000""","Summary","1.0","0.0","0.1","1.0","0.0","0.1","0.1","5.9","356","2"
"Artists and related workers","=""27-1010""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","357","3"
"Art directors","=""27-1011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","358","4"
"Designers","=""27-1020""","Summary","0.9","0.0","0.1","1.0","0.0","0.1","0.1","5.9","363","3"
"Graphic designers","=""27-1024""","Line Item","0.9","0.0","0.3","0.9","0.0","0.3","0.1","5.9","367","4"
"Entertainers and performers, sports and related workers","=""27-2000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","372","2"
"Actors, producers, and directors","=""27-2010""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","373","3"
"Producers and directors","=""27-2012""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","375","4"
"Media and communication workers","=""27-3000""","Summary","4.3","0.2","0.5","4.6","0.2","0.5","0.3","5.9","389","2"
"Public relations specialists","=""27-3031""","Line Item","3.7","0.2","1.2","3.9","0.2","1.2","0.2","5.9","392","3"
"Writers and editors","=""27-3040""","Summary","0.6","0.0","0.2","0.6","0.0","0.2","0.0","5.9","393","3"
"Editors","=""27-3041""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.9","394","4"
"Technical writers","=""27-3042""","Line Item","0.4","0.0","0.8","0.4","0.0","0.8","0.0","5.9","395","4"
"Writers and authors","=""27-3043""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.9","396","4"
"Media and communication equipment workers","=""27-4000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","1.8","401","2"
"Protective service occupations","=""33-0000""","Summary","4.3","0.2","0.1","4.3","0.2","0.1","0.1","1.8","522","1"
"Supervisors of protective service workers","=""33-1000""","Summary","0.2","0.0","0.0","0.2","0.0","0.0","0.0","-2.1","523","2"
"Miscellaneous first-line supervisors, protective service workers","=""33-1090""","Summary","0.2","0.0","0.2","0.2","0.0","0.2","0.0","-2.1","528","3"
"First-line supervisors of security workers","=""33-1091""","Line Item","0.1","0.0","0.2","0.1","0.0","0.2","0.0","-4.7","529","4"
"Other protective service workers","=""33-9000""","Summary","4.1","0.2","0.2","4.2","0.2","0.3","0.1","2.0","546","2"
"Private detectives and investigators","=""33-9021""","Line Item","2.1","0.1","5.4","2.2","0.1","5.4","0.1","5.9","548","3"
"Security guards and gambling surveillance officers","=""33-9030""","Summary","1.9","0.1","0.2","1.9","0.1","0.2","0.0","-2.5","549","3"
"Security guards","=""33-9032""","Line Item","1.9","0.1","0.2","1.9","0.1","0.2","0.0","-2.5","551","4"
"Food preparation and serving related occupations","=""35-0000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","558","1"
"Building and grounds cleaning and maintenance occupations","=""37-0000""","Summary","2.9","0.1","0.1","3.0","0.1","0.1","0.1","4.9","581","1"
"Building cleaning and pest control workers","=""37-2000""","Summary","2.7","0.1","0.1","2.9","0.1","0.1","0.1","4.9","585","2"
"Building cleaning workers","=""37-2010""","Summary","2.7","0.1","0.1","2.9","0.1","0.1","0.1","4.9","586","3"
"Janitors and cleaners, except maids and housekeeping cleaners","=""37-2011""","Line Item","2.7","0.1","0.1","2.9","0.1","0.1","0.1","4.9","587","4"
"Grounds maintenance workers","=""37-3000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","591","2"
"Landscaping and groundskeeping workers","=""37-3011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","592","3"
"Personal care and service occupations","=""39-0000""","Summary","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","596","1"
"Sales and related occupations","=""41-0000""","Summary","276.1","13.2","1.9","291.6","14.0","2.1","15.5","5.6","644","1"
"Supervisors of sales workers","=""41-1000""","Summary","24.7","1.2","1.4","26.2","1.3","1.6","1.5","5.9","645","2"
"First-line supervisors of retail sales workers","=""41-1011""","Line Item","0.8","0.0","0.1","0.8","0.0","0.1","0.0","5.9","646","3"
"First-line supervisors of non-retail sales workers","=""41-1012""","Line Item","24.0","1.1","6.6","25.4","1.2","7.1","1.4","5.9","647","3"
"Retail sales workers","=""41-2000""","Summary","4.4","0.2","0.1","4.3","0.2","0.1","-0.2","-3.7","648","2"
"Cashiers","=""41-2010""","Summary","2.7","0.1","0.1","2.4","0.1","0.1","-0.3","-10.0","649","3"
"Cashiers","=""41-2011""","Line Item","2.7","0.1","0.1","2.4","0.1","0.1","-0.3","-10.0","650","4"
"Sales representatives, services","=""41-3000""","Summary","243.1","11.6","10.5","257.5","12.3","10.6","14.4","5.9","656","2"
"Insurance sales agents","=""41-3021""","Line Item","1.4","0.1","0.3","1.5","0.1","0.3","0.1","5.9","658","3"
"Securities, commodities, and financial services sales agents","=""41-3031""","Line Item","233.9","11.2","48.5","247.8","11.9","47.9","13.9","5.9","659","3"
"Sales representatives of services, except advertising, insurance, financial services, and travel","=""41-3091""","Line Item","7.6","0.4","0.7","8.0","0.4","0.7","0.5","5.9","661","3"
"Sales representatives, wholesale and manufacturing","=""41-4000""","Summary","0.6","0.0","0.0","0.6","0.0","0.0","0.0","5.9","662","2"
"Sales representatives, wholesale and manufacturing, technical and scientific products","=""41-4011""","Line Item","0.1","0.0","0.0","0.1","0.0","0.0","0.0","5.9","663","3"
"Sales representatives, wholesale and manufacturing, except technical and scientific products","=""41-4012""","Line Item","0.4","0.0","0.0","0.5","0.0","0.0","0.0","5.9","664","3"
"Other sales and related workers","=""41-9000""","Summary","3.3","0.2","0.3","2.9","0.1","0.3","-0.3","-9.4","665","2"
"Real estate brokers and sales agents","=""41-9020""","Summary","0.3","0.0","0.1","0.3","0.0","0.1","0.0","5.9","669","3"
"Real estate brokers","=""41-9021""","Line Item","0.1","0.0","0.1","0.1","0.0","0.1","0.0","5.9","670","4"
"Real estate sales agents","=""41-9022""","Line Item","0.2","0.0","0.0","0.2","0.0","0.0","0.0","5.9","671","4"
"Telemarketers","=""41-9041""","Line Item","2.3","0.1","2.4","2.0","0.1","2.6","-0.4","-15.3","673","3"
"Miscellaneous sales and related workers","=""41-9090""","Summary","0.6","0.0","0.3","0.6","0.0","0.4","0.0","5.9","674","3"
"Sales and related workers, all other","=""41-9099""","Line Item","0.6","0.0","0.4","0.6","0.0","0.4","0.0","5.9","676","4"
"Office and administrative support occupations","=""43-0000""","Summary","913.1","43.6","4.6","816.8","39.1","4.4","-96.2","-10.5","677","1"
"Supervisors of office and administrative support workers","=""43-1000""","Summary","99.2","4.7","6.3","89.3","4.3","6.0","-9.9","-10.0","678","2"
"First-line supervisors of office and administrative support workers","=""43-1011""","Line Item","99.2","4.7","6.3","89.3","4.3","6.0","-9.9","-10.0","679","3"
"Communications equipment operators","=""43-2000""","Summary","0.6","0.0","1.1","0.5","0.0","1.1","-0.2","-25.8","680","2"
"Switchboard operators, including answering service","=""43-2011""","Line Item","0.6","0.0","1.2","0.4","0.0","1.2","-0.1","-25.8","681","3"
"Financial clerks","=""43-3000""","Summary","436.7","20.9","14.3","377.1","18.1","13.3","-59.6","-13.6","684","2"
"Bill and account collectors","=""43-3011""","Line Item","20.3","1.0","9.7","17.2","0.8","9.1","-3.1","-15.3","685","3"
"Billing and posting clerks","=""43-3021""","Line Item","7.8","0.4","1.7","7.4","0.4","1.6","-0.4","-4.7","686","3"
"Bookkeeping, accounting, and auditing clerks","=""43-3031""","Line Item","41.8","2.0","2.4","39.9","1.9","2.4","-1.9","-4.7","687","3"
"Payroll and timekeeping clerks","=""43-3051""","Line Item","1.3","0.1","0.8","1.1","0.1","0.8","-0.2","-15.3","689","3"
"Procurement clerks","=""43-3061""","Line Item","0.2","0.0","0.3","0.2","0.0","0.3","0.0","-4.7","690","3"
"Tellers","=""43-3071""","Line Item","348.6","16.6","95.7","295.4","14.1","94.9","-53.2","-15.3","691","3"
"Financial clerks, all other","=""43-3099""","Line Item","16.7","0.8","38.3","15.9","0.8","36.1","-0.8","-4.7","692","3"
"Information and record clerks","=""43-4000""","Summary","320.0","15.3","5.4","299.7","14.4","5.3","-20.3","-6.3","693","2"
"Brokerage clerks","=""43-4011""","Line Item","10.2","0.5","23.4","9.2","0.4","23.2","-1.0","-10.0","694","3"
"Correspondence clerks","=""43-4021""","Line Item","0.3","0.0","5.3","0.3","0.0","5.4","0.0","-4.7","695","3"
"Credit authorizers, checkers, and clerks","=""43-4041""","Line Item","3.9","0.2","23.7","3.7","0.2","23.9","-0.2","-4.7","697","3"
"Customer service representatives","=""43-4051""","Line Item","140.6","6.7","4.7","134.1","6.4","4.8","-6.6","-4.7","698","3"
"File clerks","=""43-4071""","Line Item","2.8","0.1","3.1","2.4","0.1","3.1","-0.4","-15.3","700","3"
"Interviewers, except eligibility and loan","=""43-4111""","Line Item","0.2","0.0","0.1","0.2","0.0","0.1","0.0","-4.7","702","3"
"Loan interviewers and clerks","=""43-4131""","Line Item","112.9","5.4","45.7","107.7","5.2","44.0","-5.3","-4.7","704","3"
"New accounts clerks","=""43-4141""","Line Item","42.9","2.0","92.1","36.3","1.7","91.2","-6.5","-15.3","705","3"
"Human resources assistants, except payroll and timekeeping","=""43-4161""","Line Item","1.4","0.1","1.3","1.3","0.1","1.3","-0.1","-4.7","707","3"
"Receptionists and information clerks","=""43-4171""","Line Item","3.8","0.2","0.4","3.6","0.2","0.3","-0.2","-5.7","708","3"
"Information and record clerks, all other","=""43-4199""","Line Item","0.8","0.0","0.5","0.8","0.0","0.5","0.0","5.9","710","3"
"Material recording, scheduling, dispatching, and distributing workers","=""43-5000""","Summary","3.6","0.2","0.1","3.3","0.2","0.1","-0.2","-7.0","711","2"
"Couriers and messengers","=""43-5021""","Line Item","2.0","0.1","0.9","1.7","0.1","0.8","-0.3","-15.3","713","3"
"Production, planning, and expediting clerks","=""43-5061""","Line Item","1.2","0.1","0.3","1.3","0.1","0.3","0.1","5.9","722","3"
"Shipping, receiving, and inventory clerks","=""43-5071""","Line Item","0.3","0.0","0.0","0.3","0.0","0.0","0.0","-4.7","723","3"
"Secretaries and administrative assistants","=""43-6000""","Summary","27.7","1.3","0.8","23.7","1.1","0.8","-4.0","-14.3","725","2"
